Time,X,Y,Yaw,Hitch_Angle
80.84,48.02379640670339,90.1430130261353,-3.028859179405915,3.1730834681011784
80.88,48.08341554523262,90.14976271657505,-3.028859179405915,3.1728683289825397
80.92,48.14303468376185,90.1565124070148,-3.028859179405915,3.1726546591715934
80.96000000000001,48.202653822291076,90.16326209745455,-3.028859179405915,3.1724424486433884
81.0,48.262272960820304,90.1700117878943,-3.028859179405915,3.172231687441174
81.04,48.32189209934953,90.17676147833404,-3.028859179405915,3.1720223656759385
81.08,48.38151123787876,90.18351116877379,-3.028859179405915,3.171814473525955
81.12,48.44113037640799,90.19026085921354,-3.028859179405915,3.1716080012363244
81.16,48.50074951493722,90.19701054965329,-3.028859179405915,3.1714029391185274
81.2,48.56036865346645,90.20376024009303,-3.028859179405915,3.1711992775499747
81.24,48.619987791995676,90.21050993053278,-3.028859179405915,3.1709970069735625
81.28,48.679606930524905,90.21725962097253,-3.028859179405915,3.1707961178972304
81.32000000000001,48.73922606905413,90.22400931141227,-3.028859179405915,3.1705966008935222
81.36,48.79884520758336,90.23075900185202,-3.028859179405915,3.17039844659915
81.4,48.85846434611259,90.23750869229177,-3.028859179405915,3.1702016457145605
81.44,48.91808348464182,90.24425838273152,-3.028859179405915,3.1700061890035043
81.48,48.97770262317105,90.25100807317126,-3.028859179405915,3.169812067292609
81.52,49.03732176170028,90.25775776361101,-3.028859179405915,3.1696192714709532
81.56,49.096940900229505,90.26450745405076,-3.028859179405915,3.169427792489645
81.60000000000001,49.156560038758734,90.2712571444905,-3.028859179405915,3.1692376213614026
81.64,49.21617917728796,90.27800683493025,-3.028859179405915,3.169048749160139
81.68,49.27579831581719,90.28475652537,-3.028859179405915,3.168861167020546
81.72,49.33541745434642,90.29150621580975,-3.028859179405915,3.1686748661376853
81.76,49.39503659287565,90.2982559062495,-3.028859179405915,3.1684898377665784
81.8,49.45465573140488,90.30500559668924,-3.028859179405915,3.1683060732218027
81.84,49.514274869934106,90.31175528712899,-3.028859179405915,3.1681235638770873
81.88,49.573894008463334,90.31850497756874,-3.028859179405915,3.1679423011649135
81.92,49.63351314699256,90.32525466800848,-3.028859179405915,3.1677622765761173
81.96000000000001,49.69313228552179,90.33200435844823,-3.028859179405915,3.1675834816594937
82.0,49.75275142405102,90.33875404888798,-3.028859179405915,3.167405908021405
82.04,49.81237056258025,90.34550373932773,-3.028859179405915,3.167229547325392
82.08,49.87198970110948,90.35225342976747,-3.028859179405915,3.1670543912917846
82.12,49.931608839638706,90.35900312020722,-3.028859179405915,3.166880431697319
82.16,49.991227978167935,90.36575281064697,-3.028859179405915,3.1667076603747555
82.2,50.05084711669716,90.37250250108671,-3.028859179405915,3.166536069212498
82.24,50.11046625522639,90.37925219152646,-3.028859179405915,3.1663656501542192
82.28,50.17008539375562,90.38600188196621,-3.028859179405915,3.1661963951984835
82.32000000000001,50.22970453228485,90.39275157240596,-3.028859179405915,3.1660282963983777
82.36,50.28932367081408,90.3995012628457,-3.028859179405915,3.1658613458611393
82.4,50.348942809343306,90.40625095328545,-3.028859179405915,3.165695535747791
82.44,50.408561947872535,90.4130006437252,-3.028859179405915,3.1655308582727755
82.48,50.46818108640176,90.41975033416495,-3.028859179405915,3.165367305703594
82.52,50.52780022493099,90.42650002460469,-3.028859179405915,3.165204870360445
82.56,50.58741936346022,90.43324971504444,-3.028859179405915,3.16504354461587
82.60000000000001,50.64703850198945,90.43999940548419,-3.028859179405915,3.1648833208943947
82.64,50.70665764051868,90.44674909592393,-3.028859179405915,3.1647241916721796
82.68,50.76627677904791,90.45349878636368,-3.028859179405915,3.1645661494766686
82.72,50.825895917577135,90.46024847680343,-3.028859179405915,3.1644091868862407
82.76,50.885515056106364,90.46699816724318,-3.028859179405915,3.1642532965298655
82.8,50.94513419463559,90.47374785768292,-3.028859179405915,3.164098471086759
82.84,51.00475333316482,90.48049754812267,-3.028859179405915,3.163944703286044
82.88,51.06437247169405,90.48724723856242,-3.028859179405915,3.1637919859064096
82.92,51.12399161022328,90.49399692900217,-3.028859179405915,3.163640311775777
82.96000000000001,51.18361074875251,90.50074661944191,-3.028859179405915,3.1634896737709637
83.0,51.243229887281736,90.50749630988166,-3.028859179405915,3.1633400648173517
83.04,51.302849025810964,90.5142460003214,-3.028859179405915,3.1631914778885593
